x,y1,y2,y3,y4,y5
65527,195.758894,732717066011.792847,6892146081629665755136.000000,68514678955708317517124007362560.000000,684742647055643937183483684421671409680384.000000
65528,127.274931,48012751183.554764,45162165629094707200.000000,44895613679307011629019824128.000000,44869131433615212918902579708387393536.000000
65529,82.400717,3146179558.555977,295938638934332032.000000,29419197731776302728347648.000000,2940184444581939479231857227202560.000000
65530,52.996366,206165999.292615,1939256307072783.250000,19278106081655701635072.000000,192667346469009902884460953600.000000
65531,33.728518,13510056.933645,12707946580246.955078,12632942915308984320.000000,12625491214114227417513984.000000
65532,21.102635,885326.540919,83276444734.016342,8278493821831133.000000,827361064752119808000.000000
65533,12.828979,58016.218879,545727196.630956,5425062571321.381836,54218625295335944.000000
65534,7.407215,3800.976872,3576313.037682,3555206253.864041,3553109171478.251953
65535,3.854244,248.093218,23436.009861,2329867.866407,232849455.443656
65536,1.525879,15.258789,152.587891,1525.878906,15258.789062
