lambda,mu,m,n,theta,tao
0.000010,1,1,65527,195.758894,2.900577
0.000010,1,1,65528,127.274931,2.900661
0.000010,1,1,65529,82.400717,2.900745
0.000010,1,1,65530,52.996366,2.900829
0.000010,1,1,65531,33.728518,2.900913
0.000010,1,1,65532,21.102635,2.900998
0.000010,1,1,65533,12.828979,2.901082
0.000010,1,1,65534,7.407215,2.901166
0.000010,1,1,65535,3.854244,2.901250
0.000010,1,1,65536,1.525879,2.901334
0.000010,1,2,65527,34613.423871,0.743635
0.000010,1,2,65528,11340.069130,0.743641
0.000010,1,2,65529,3714.960250,0.743647
0.000010,1,2,65530,1216.688151,0.743652
0.000010,1,2,65531,398.147873,0.743658
0.000010,1,2,65532,129.955141,0.743663
0.000010,1,2,65533,42.081102,0.743669
0.000010,1,2,65534,13.288504,0.743674
0.000010,1,2,65535,3.854244,0.743680
0.000010,1,2,65536,1.525879,1.487371
0.000010,1,3,65527,578047.053518,0.426486
0.000010,1,3,65528,126258.630920,0.426488
0.000010,1,3,65529,27577.918556,0.426490
0.000010,1,3,65530,6023.511417,0.426491
0.000010,1,3,65531,1315.402344,0.426493
0.000010,1,3,65532,286.998770,0.426495
0.000010,1,3,65533,62.358678,0.426497
0.000010,1,3,65534,13.288504,0.426499
0.000010,1,3,65535,3.854244,0.639751
0.000010,1,3,65536,1.525879,1.419261
0.000010,10,1,65527,73271706601.179352,0.107012
0.000010,10,1,65528,4801275118.355479,0.107012
0.000010,10,1,65529,314617955.855598,0.107012
0.000010,10,1,65530,20616599.929261,0.107012
0.000010,10,1,65531,1351005.693365,0.107013
0.000010,10,1,65532,88532.654092,0.107013
0.000010,10,1,65533,5801.621888,0.107013
0.000010,10,1,65534,380.097687,0.107013
0.000010,10,1,65535,24.809322,0.107013
0.000010,10,1,65536,1.525879,0.107013
0.000010,10,2,65527,18715911450130.707031,0.051694
0.000010,10,2,65528,613198764796.307495,0.051694
0.000010,10,2,65529,20090844329.736210,0.051694
0.000010,10,2,65530,658266468.991642,0.051694
0.000010,10,2,65531,21568100.806511,0.051694
0.000010,10,2,65532,706689.556976,0.051694
0.000010,10,2,65533,23155.340024,0.051694
0.000010,10,2,65534,758.669449,0.051694
0.000010,10,2,65535,24.809322,0.051694
0.000010,10,2,65536,1.525879,0.103388
0.000010,10,3,65527,319771468624489.187500,0.034078
0.000010,10,3,65528,6984555008185.601562,0.034078
0.000010,10,3,65529,152561306858.762054,0.034078
0.000010,10,3,65530,3332396625.682607,0.034078
0.000010,10,3,65531,72790650.260327,0.034078
0.000010,10,3,65532,1590014.667403,0.034078
0.000010,10,3,65533,34732.247061,0.034078
0.000010,10,3,65534,758.669449,0.034078
0.000010,10,3,65535,24.809322,0.051117
0.000010,10,3,65536,1.525879,0.103350
0.000010,100,1,65527,68921460816296738816.000000,0.010066
0.000010,100,1,65528,451621656290947712.000000,0.010066
0.000010,100,1,65529,2959386389343323.000000,0.010066
0.000010,100,1,65530,19392563070727.843750,0.010066
0.000010,100,1,65531,127079465802.469620,0.010066
0.000010,100,1,65532,832764447.340164,0.010066
0.000010,100,1,65533,5457271.966310,0.010066
0.000010,100,1,65534,35763.130377,0.010066
0.000010,100,1,65535,234.360099,0.010066
0.000010,100,1,65536,1.525879,0.010066
0.000010,100,2,65527,17643513829489083678720.000000,0.005016
0.000010,100,2,65528,57806326535246577664.000000,0.005016
0.000010,100,2,65529,189396648260081920.000000,0.005016
0.000010,100,2,65530,620548648191745.125000,0.005016
0.000010,100,2,65531,2033227645800.248779,0.005016
0.000010,100,2,65532,6661972042.841806,0.005016
0.000010,100,2,65533,21828617.590575,0.005016
0.000010,100,2,65534,71524.734828,0.005016
0.000010,100,2,65535,234.360099,0.005016
0.000010,100,2,65536,1.525879,0.010033
0.000010,100,3,65527,301455967507999694520320.000000,0.003341
0.000010,100,3,65528,658450172763223097344.000000,0.003341
0.000010,100,3,65529,1438230764027616512.000000,0.003341
0.000010,100,3,65530,3141527457865523.000000,0.003341
0.000010,100,3,65531,6862143143797.588867,0.003341
0.000010,100,3,65532,14989436745.203327,0.003341
0.000010,100,3,65533,32742925.622889,0.003341
0.000010,100,3,65534,71524.734828,0.003341
0.000010,100,3,65535,234.360099,0.005011
0.000010,100,3,65536,1.525879,0.010033
0.000010,1000,1,65527,68514678955708481828141662208.000000,0.001001
0.000010,1000,1,65528,44895613679307099383791616.000000,0.001001
0.000010,1000,1,65529,29419197731776367689728.000000,0.001001
