lambda,mu,m,n,theta,tao
0.000010,1,2,65527,34613.423871,0.743635
0.000010,1,2,65528,11340.069130,0.743641
0.000010,1,2,65529,3714.960250,0.743647
0.000010,1,2,65530,1216.688151,0.743652
0.000010,1,2,65531,398.147873,0.743658
0.000010,1,2,65532,129.955141,0.743663
0.000010,1,2,65533,42.081102,0.743669
0.000010,1,2,65534,13.288504,0.743674
0.000010,1,2,65535,3.854244,0.743680
0.000010,1,2,65536,1.525879,1.487371
0.000001,1,2,65527,187159114501307.312500,0.516936
0.000001,1,2,65528,6131987647963.081055,0.516937
0.000001,1,2,65529,200908443297.362396,0.516937
0.000001,1,2,65530,6582664689.916430,0.516937
0.000001,1,2,65531,215681008.065112,0.516937
0.000001,1,2,65532,7066895.569757,0.516938
0.000001,1,2,65533,231553.400239,0.516938
0.000001,1,2,65534,7586.694489,0.516938
0.000001,1,2,65535,248.093218,0.516939
0.000001,1,2,65536,15.258789,1.033878
0.000000,1,2,65527,1764351382948910867677184.000000,0.501644
0.000000,1,2,65528,5780632653524665106432.000000,0.501644
0.000000,1,2,65529,18939664826008211456.000000,0.501644
0.000000,1,2,65530,62054864819174608.000000,0.501644
0.000000,1,2,65531,203322764580025.062500,0.501644
0.000000,1,2,65532,666197204284.181152,0.501644
0.000000,1,2,65533,2182861759.057548,0.501644
0.000000,1,2,65534,7152473.482816,0.501644
0.000000,1,2,65535,23436.009861,0.501644
0.000000,1,2,65536,152.587891,1.003288
